TF	MERGED_WITH	CLUSTER1_WITH	CLUSTER2_WITH	CLUSTER3_WITH	CLUSTER4_WITH	CLUSTER5_WITH	MERGED_WO	CLUSTER1_WO	CLUSTER2_WO	CLUSTER3_WO	CLUSTER4_WO	CLUSTER5_WO
UP00044_1_Mafk_primary	1.0	0.985445614705	1.0	1.0	1.0	1.0	2.3473712216e-08	1.0	0.679338691451	0.0220743883659	0.00918139283064	0.0365755873784
UP00045_1_Mafb_primary	1.0	0.999294900769	1.0	1.0	1.0	1.0	0.0414768155535	1.0	0.986274601813	0.747153541319	0.471679100279	0.449779075219
UP00049_1_Sp100_primary	1.0	0.614770071181	1.0	0.762609253347	1.0	1.0	0.772058414992	1.0	0.986274601813	1.0	0.559387097487	0.560438391684
UP00058_1_Tcf3_primary	1.0	1.0	1.0	1.0	1.0	1.0	0.000257797744794	1.0	0.273097298196	0.187882709796	0.765094364154	0.220116659462
UP00062_1_Sox4_primary	1.0	1.0	1.0	1.0	1.0	1.0	7.07196467951e-06	1.0	0.28955185386	0.150588773516	0.358396948441	0.0705111816389
UP00064_1_Sox18_primary	1.0	1.0	1.0	1.0	1.0	1.0	2.01897546011e-10	1.0	0.652947960415	0.00564069051819	0.0654325652045	0.010205486984
UP00078_1_Arid3a_primary	1.0	0.832860034678	1.0	1.0	1.0	1.0	0.0273435212837	1.0	0.782451608659	0.858143058068	0.401887879011	0.135998196493
UP00081_1_Mybl1_primary	1.0	0.985445614705	1.0	1.0	1.0	1.0	0.458493210514	1.0	1.0	1.0	0.700963898458	0.351969594894
UP00092_1_Myb_primary	1.0	1.0	1.0	1.0	1.0	1.0	0.393614937201	1.0	1.0	1.0	0.45090864354	0.34669651641
UP00093_1_Klf7_primary	3.78040761897e-42	0.0555819883207	0.0146479675515	0.000346984705871	3.95020105768e-12	2.34973478742e-18	1.0	1.0	1.0	1.0	1.0	1.0
UP00103_1_Jundm2_primary	1.0	1.0	1.0	1.0	1.0	1.0	0.0509066286721	1.0	0.913060119097	0.165662308091	0.927844011417	0.301163920247
UP00125_1_Pitx2_2274.3	1.0	1.0	1.0	1.0	1.0	1.0	0.218014846961	1.0	0.782451608659	0.440916948986	0.483344757288	1.0
UP00126_1_Dlx2_2273.2	1.0	0.985445614705	1.0	1.0	1.0	1.0	0.0103800475737	1.0	1.0	0.270715066299	0.740118974528	0.19881159401
UP00129_1_Pou3f1_3819.1	1.0	0.781538761882	1.0	1.0	1.0	0.782983763386	0.379642422424	1.0	0.986274601813	1.0	0.139275214248	1.0
UP00156_1_Msx2_3449.1	1.0	1.0	1.0	1.0	1.0	1.0	0.0949138556575	1.0	0.986274601813	0.253655535173	1.0	0.458557953936
UP00195_1_Six3_1732.2	1.0	0.039646655714	1.0	1.0	1.0	1.0	0.364896954207	1.0	0.986274601813	0.687469575185	0.504586070475	0.636869201802
UP00202_1_Dlx1_1741.2	1.0	0.985445614705	1.0	1.0	1.0	1.0	0.164745502023	1.0	0.986274601813	1.0	0.659500011757	0.458557953936
UP00234_1_Msx1_3031.2	1.0	0.999294900769	1.0	1.0	1.0	1.0	0.0528792179364	1.0	1.0	0.669998921366	0.139275214248	0.58316644661
UP00252_1_Hoxc5_2630.2	1.0	0.985445614705	1.0	1.0	1.0	1.0	0.185711108859	1.0	1.0	1.0	0.0171224476852	0.975375947106
UP00265_1_Pitx3_3497.2	0.0997584160204	0.639061331363	1.0	1.0	1.0	0.478956864121	1.0	1.0	1.0	1.0	1.0	1.0
